Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
11/23/22,31.5,31.8,31,31.5,102,807796,25420730.5
11/22/22,30.8,31.5,30,31,144,144776,4394867.6
11/21/22,32,32,30.5,31,145,101024,3123632.1
11/18/22,32.4,33,31,31.5,209,116331,3694135.5
11/17/22,32.4,32.5,32,32.1,95,743387,23807477.9
11/16/22,32.9,32.9,31.9,32.1,69,282708,9055771.5
11/15/22,32.1,33.4,32,32.5,109,186988,5993812.9
11/14/22,33.3,33.5,32,32.2,202,1618097,51889711.9
11/11/22,32.9,33.3,32.4,32.6,123,68925,2262907.1
11/10/22,33.1,33.5,32.3,32.6,111,60000,1960424.5
11/9/22,33,33.5,32.5,32.6,146,177966,5812039.3
11/8/22,35,35,32.7,32.8,198,144243,4749547.9
11/4/22,34.5,35.2,33,33.3,116,186347,6334002.5
11/3/22,35,35,33,33.4,172,132937,4507910.2
11/2/22,34.9,34.9,34,34.4,201,205188,7054965.7
11/1/22,35.9,35.9,34.9,35,123,27051,948329.9
10/31/22,35.5,35.7,35,35.2,115,64976,2294444
10/28/22,36.5,36.5,35,35.4,130,66771,2357810.3
10/27/22,35.5,35.9,35.4,35.5,115,94360,3351312
10/26/22,35,36,35,35.6,166,205270,7262822.5
10/25/22,36.5,36.5,35.1,35.2,127,122363,4321734.9
10/21/22,35.7,36.5,35.2,36.1,139,65261,2331371.9
10/20/22,35.8,36.6,35.3,35.9,120,102058,3667093.6
10/19/22,36.6,36.6,35.5,35.8,109,55149,1992369.9
10/18/22,36,37,35,35.4,219,115623,4116905.9
10/17/22,37.5,37.5,35.9,36.1,180,102354,3699521.9
10/14/22,38.6,38.7,36.1,37.4,181,328868,12056007.5
10/13/22,36.7,39.4,36.6,38.7,187,230174,8847995.3
10/12/22,38.4,38.5,36.1,36.7,254,362127,13305490.7
10/11/22,37,40,36.5,38.8,328,733787,28250327.9
10/7/22,39,39,37,38.1,238,172338,6497169.4
10/6/22,39.5,39.5,38.7,39,191,311045,12124381
