Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
5/16/24,4.5,4.5,4.4,4.4,69,259987,1150235.9
5/15/24,4.3,4.6,4.3,4.4,257,4946282,22251246.7
5/14/24,4.3,4.4,4.2,4.2,54,2233988,9597827.3
5/13/24,4.4,4.4,4.3,4.3,36,1586459,6862397.5
5/10/24,4.3,4.5,4.3,4.3,79,3286527,14265530.2
5/9/24,4.4,4.4,4.2,4.4,75,1414234,6133155.3
5/8/24,4.4,4.5,4.2,4.4,143,1590532,6953334.3
5/7/24,4.3,4.4,4.1,4.3,157,4820618,20676858.8
5/6/24,4.3,4.3,4.1,4.2,99,2401041,10091281.5
5/3/24,4.3,4.4,4.2,4.3,103,1324511,5695488.5
5/2/24,4.2,4.4,4.2,4.3,139,4558668,19449705.9
4/30/24,4.1,4.3,4.1,4.2,131,4290298,17957220.6
4/29/24,3.9,4.3,3.9,4.1,457,14431299,59840540.2
4/26/24,3.9,4,3.8,3.9,132,4301594,16494940.6
4/25/24,3.9,3.9,3.8,3.8,23,301818,1169612.5
4/24/24,3.7,3.9,3.6,3.8,102,1948204,7316984.4
4/22/24,3.6,3.8,3.6,3.6,42,637291,2329970.1
4/19/24,3.8,3.8,3.6,3.6,18,495703,1787080.8
4/18/24,3.8,3.8,3.7,3.7,52,609108,2263053.1
4/17/24,3.6,3.8,3.5,3.7,52,770241,2823887
4/16/24,3.6,3.7,3.5,3.6,45,368600,1325412
4/15/24,3.7,3.7,3.5,3.6,34,592536,2128006.1
4/10/24,3.7,3.8,3.6,3.7,47,546104,2023034.4
4/9/24,3.5,3.8,3.5,3.7,158,1865746,6778692.7
4/8/24,3.5,3.6,3.4,3.5,61,2886148,10090911.2
4/5/24,3.5,3.5,3.4,3.5,12,25926,89720.1
4/4/24,3.6,3.6,3.4,3.5,48,909183,3182588.1
4/3/24,3.5,3.6,3.4,3.5,82,1681838,5903683.9
4/2/24,3.3,3.5,3.3,3.4,112,1593331,5361007.5
4/1/24,3.3,3.4,3.2,3.3,23,227637,751208.3
3/28/24,3.3,3.4,3.3,3.4,34,773153,2552184.9
3/27/24,3.3,3.4,3.3,3.3,26,310600,1027000.2
3/26/24,3.4,3.4,3.3,3.3,43,555602,1833507
3/25/24,3.2,3.4,3.2,3.3,17,149051,491773.4
3/22/24,3.3,3.4,3.2,3.3,22,85815,280940
3/21/24,3.3,3.4,3.3,3.3,28,327992,1082975.7
3/20/24,3.3,3.4,3.3,3.3,57,888413,2936376.1
3/19/24,3.4,3.4,3.3,3.3,33,432849,1445515
3/18/24,3.3,3.4,3.3,3.4,40,713799,2411641.9
3/15/24,3.4,3.4,3.3,3.4,55,5620061,18876616.3
3/14/24,3.5,3.5,3.3,3.4,72,1685929,5732162.4
3/13/24,3.4,3.6,3.3,3.4,130,5217363,18027068.3
3/12/24,3.5,3.5,3.3,3.4,180,5289518,18041375.7
3/11/24,3.5,3.6,3.4,3.5,225,7252858,25264610.1
3/7/24,3.3,3.5,3.2,3.4,346,12587530,42626312.7
3/6/24,3,3.3,3,3.2,143,5498316,17299366.7
3/5/24,3.1,3.1,3,3,42,1275738,3827772.3
3/4/24,3,3.1,2.9,3,136,1920448,5747011.5
3/1/24,2.9,3.1,2.9,3,9,1112,3310.6
2/29/24,3,3.1,3,3,247,1446635,4339915.2
2/28/24,3,3,2.9,3,41,180404,540981.3
2/27/24,2.9,2.9,2.8,2.9,92,2521434,7312158.5
2/26/24,3,3.1,2.9,2.9,58,586269,1700930
2/22/24,3,3,2.9,2.9,27,114636,338387
2/21/24,3,3,2.9,3,26,260008,779022.5
2/20/24,3.1,3.1,3,3,41,1340615,4049046.5
2/19/24,3.1,3.1,3,3.1,28,385610,1195384.8
2/16/24,3.1,3.2,3.1,3.1,26,1481498,4594198.9
2/15/24,3.2,3.2,3.1,3.1,92,1088626,3381764
2/14/24,3.1,3.2,3.1,3.1,63,663136,2056737.2
2/13/24,3.1,3.2,3,3.2,125,1393651,4314526.3
2/12/24,3,3.1,3,3,17,278210,834630.2
2/9/24,2.9,3.1,2.9,3,46,295492,885346.6
2/8/24,3,3,2.9,3,44,837453,2512358.9
2/7/24,3,3.1,2.9,3,112,1791498,5354493.1
2/6/24,3.1,3.1,3,3,28,134122,402572.3
2/2/24,3,3.2,3,3.1,51,1038823,3218478.2
2/1/24,3.1,3.1,3,3,72,1264077,3845735.1
1/31/24,2.9,3.1,2.9,3,63,1188517,3565497
1/30/24,3,3.1,2.9,3,191,1600003,4798204.7
1/29/24,3,3,2.9,2.9,45,407376,1194230.4
1/26/24,3,3,2.9,3,68,1259753,3693626.3
1/24/24,3,3.1,3,3,34,216213,648741.4
1/23/24,2.9,3.1,2.9,3,24,317870,953601
1/22/24,2.9,3.1,2.9,3,13,73300,219270
1/19/24,2.9,3.1,2.9,3,29,971861,2915433
1/18/24,3,3.1,2.9,3,57,1009942,3029750.9
1/17/24,3,3.1,3,3,69,1494382,4506951.6
1/16/24,3,3.1,2.9,3,231,9592932,30737796
1/12/24,3,3,2.9,3,109,1266675,3799014.6
1/11/24,3,3,2.9,3,101,1290876,3854242
1/10/24,3,3,2.9,3,37,496374,1485487.6
1/9/24,2.9,3,2.8,3,123,1311251,3865211.8
1/8/24,2.7,3,2.7,2.9,175,2826379,8100583.8
1/5/24,2.7,2.8,2.7,2.8,28,226798,624112.3
1/4/24,2.6,2.8,2.6,2.7,31,95657,258746.1
1/3/24,2.7,2.7,2.6,2.6,22,104578,279944
1/2/24,2.6,2.8,2.5,2.6,36,462351,1204162.8
12/29/23,2.5,2.6,2.5,2.6,11,33511,84777.5
12/28/23,2.5,2.6,2.4,2.6,12,7251,18132.6
12/27/23,2.6,2.6,2.4,2.5,18,204847,511718.9
12/22/23,2.7,2.7,2.4,2.5,25,29500,73788
12/21/23,2.6,2.6,2.5,2.6,9,6790,17195.7
12/20/23,2.5,2.6,2.4,2.5,46,367370,918435.2
12/19/23,2.5,2.6,2.5,2.5,42,1474241,3690478.7
12/18/23,2.5,2.6,2.5,2.5,50,776877,1944733.7
12/15/23,2.7,2.7,2.6,2.6,8,80109,208284.3
12/14/23,2.7,2.7,2.5,2.6,14,103729,269791.1
12/13/23,2.7,2.7,2.5,2.6,23,199053,519932.5
12/12/23,2.7,2.7,2.6,2.7,4,28015,75639.3
12/11/23,2.7,2.7,2.6,2.7,9,32603,87768.1
12/8/23,2.7,2.7,2.6,2.6,8,6203,16166
12/7/23,2.7,2.7,2.6,2.7,3,5105,13773.5
12/6/23,2.6,2.6,2.6,2.6,2,5001,13002.6
12/5/23,2.6,2.7,2.6,2.6,11,461324,1199462.9
12/4/23,2.6,2.7,2.6,2.7,29,663919,1745929.2
12/1/23,2.6,2.8,2.6,2.7,16,130689,352856.3
11/30/23,2.8,2.8,2.6,2.6,34,876203,2344229.1
11/29/23,2.6,2.8,2.6,2.8,77,2186264,6058420.7
11/28/23,2.6,2.7,2.5,2.6,32,90370,237124
11/27/23,2.6,2.7,2.5,2.5,34,261786,670178.1
