Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/12/24,51.5,53.4,51,52,26,4002,206202.3
3/11/24,52.2,52.2,51.1,51.7,22,9238,478491.8
3/7/24,52.5,52.5,51.8,52.2,8,2865,149844.5
3/6/24,53.4,53.4,52,52,9,1690,88427.7
3/5/24,51,53,51,52.3,30,8733,455742.1
3/4/24,50,50,49.6,49.7,26,3951,197260.1
3/1/24,49.5,51,49.5,50,6,465,23201
2/29/24,49.5,49.5,49.1,49.1,12,2036,100281.4
2/28/24,49.5,49.5,49.2,49.4,28,8676,428938
2/27/24,50,50,49.5,49.5,13,976,48317.9
2/26/24,51.4,51.4,51.3,49.6,2,13,667.9
2/22/24,50,50.5,49.6,49.6,5,236,11725
2/21/24,50,50,49.2,49.7,6,747,37094.6
2/20/24,49.2,50.5,49.2,50,8,3620,179365
2/19/24,49.9,49.9,49.1,49.7,9,1180,58618
2/16/24,50,50,50,49.2,1,10,500
2/15/24,50,50,49.1,49.2,4,4200,207320
2/14/24,49.3,49.3,49,49.1,16,5416,266382.1
2/13/24,50.9,50.9,49.1,49.1,10,2100,103290
2/12/24,50.9,50.9,49.1,49,3,78,3878.2
2/9/24,49,50,49,49,2,17,834
2/8/24,50,50,50,49,2,61,3050
2/7/24,49.1,50,49,49,25,1813,88838.5
2/6/24,50,50,49.5,50,9,530,26494
2/2/24,50.7,50.7,48.8,50,6,421,21059.3
2/1/24,49,50,49,49,16,2952,146000
1/31/24,50,50,50,50,5,127,6350
1/30/24,48.5,50,48,48,13,10259,492660.1
1/29/24,49.9,49.9,48,48.3,58,12794,618159.9
1/26/24,49,50.8,49,50.1,6,1150,57488
1/24/24,51,51,48.5,48.5,38,3779,183862.9
1/23/24,50.1,50.1,49.9,49.9,17,3240,161991.9
1/22/24,51,51,50,50.1,25,4620,231743.2
1/19/24,51.5,51.9,50,50.2,12,3500,176223.8
1/18/24,50.6,51.5,50.1,50.2,5,202,10134.2
1/17/24,50.6,52,50.6,52,7,642,33246
1/16/24,51.9,51.9,51.9,50.6,2,2,103.8
1/12/24,51,52,50.5,50.6,7,1487,75314
1/11/24,51,51,50.2,50.2,3,228,11548
1/10/24,51.1,51.1,50,50.5,35,3714,187593
1/9/24,51.9,51.9,51.5,51.5,4,702,36393
1/8/24,52.5,52.5,52,52,3,1551,81127
1/5/24,52.9,52.9,50.6,52.8,9,746,39373.4
1/4/24,52.5,52.5,50.6,50.6,2,41,2150.6
1/3/24,50.6,52.4,50.5,50.6,15,2991,151346.2
1/2/24,50.8,50.8,50.5,50.6,21,2028,102630.1
12/29/23,52,52.3,50.4,50.6,29,15086,779280.5
12/28/23,51.1,51.1,51,51,6,10000,510002.7
12/27/23,50.8,53,50.7,52.9,11,1602,84406.1
12/22/23,50.8,50.8,50.8,52.3,1,75,3810
12/21/23,52.7,52.7,50.6,52.3,6,135,7075.4
12/20/23,53,53,51.1,51.2,2,6,316.1
12/19/23,51.2,52.9,50,51.2,29,2822,142955
12/18/23,51.2,52.9,51.2,51.2,2,195,9989.1
12/15/23,53,53,51.5,51.5,4,108,5574
12/14/23,53,53,53,53.5,1,5,265
12/13/23,54.4,54.4,53.5,53.5,2,711,38588.4
12/12/23,52.9,52.9,51,52.9,28,5888,302612
12/11/23,52.9,52.9,51.4,51.5,8,924,47838.6
12/8/23,51.5,53,51.3,53,7,685,36008.9
12/7/23,51.3,51.5,51.3,51.5,12,3955,203574.5
12/6/23,51.5,51.6,51.3,51.3,23,1879,96702.7
12/5/23,52.5,52.5,51.5,51.6,14,1056,54884.1
12/4/23,51.5,53,51.5,53,4,407,21566.5
11/30/23,52,53.5,51.5,52,12,4825,250894.2
11/29/23,52.1,52.1,52,52.9,5,90,4682.1
11/27/23,52.9,53,52.9,52.9,2,120,6350
11/24/23,52.9,52.9,51.9,52,17,1752,91100.6
11/23/23,52.6,52.6,52.6,52.1,1,1,52.6
11/22/23,52.2,53,52.1,52.1,16,2812,146965
11/21/23,53,53,52.5,52.7,10,254,13383.9
11/20/23,52.9,54.5,52.9,52.9,3,70,3735
11/16/23,53,54.9,52.9,52.9,15,985,52325.6
11/15/23,54.9,54.9,54.9,53.1,1,1,54.9
11/14/23,53.2,53.5,53.1,53.1,19,3741,198946.5
11/13/23,54.1,54.1,54,54,9,390,21070.1
11/10/23,54.8,54.9,54.3,54.7,6,151,8255.8
11/9/23,54.7,54.7,54.7,54.7,1,500,27350
11/8/23,55,55,54,54.9,6,1486,81645
11/7/23,53.1,55.9,53,53.2,12,927,49308.3
11/6/23,53.4,56.4,53.4,55.8,10,403,22117.2
11/3/23,55.7,55.7,53.4,53.5,5,808,43193.2
11/2/23,56,56,56,55.6,1,50,2800
11/1/23,56,56,56,55.6,2,46,2576
10/31/23,53.3,56,53.3,55.6,6,500,27114
10/30/23,55.9,55.9,55.9,53.2,2,10,559
10/27/23,53.4,53.4,53.1,53.2,11,669,35598.1
10/26/23,53.7,54,53.1,53.2,24,3517,188293.3
10/25/23,54,54,53.8,54,10,3571,192781.8
10/24/23,54.9,54.9,53.9,54,24,2346,126856.5
10/23/23,57,57,55.5,55.6,14,1109,62958
10/20/23,54.5,57,54.5,55,15,2614,143268
10/19/23,55,55,55,54,1,50,2750
10/18/23,54.7,54.7,53.9,54,20,2512,135664.6
10/17/23,55.1,55.1,54.8,54.8,12,1188,65207.8
10/16/23,55.1,55.1,55,55.1,15,1195,65791.8
10/13/23,57.9,57.9,55,55,5,34,1927.9
10/12/23,55,55,54.9,55,9,3587,197284.9
10/11/23,55.6,55.6,54.9,55,48,20751,1141893.9
10/10/23,55.7,57.9,55.1,55.5,12,3315,183967.9
10/9/23,57.4,57.4,55.1,55.2,42,10111,562878
10/6/23,59,59,59,59,2,2167,127853
10/5/23,57.5,57.5,57.5,57.5,2,100,5750
10/4/23,58.5,58.5,57.2,57.5,25,4762,275225.1
10/3/23,60,60,58,58.5,22,4134,240362.4
10/2/23,59.1,59.1,58.3,58.4,27,2878,168372.9
9/27/23,60,60,59.5,60,8,2856,171320.5
9/26/23,59,60,59,60,3,945,56655
9/25/23,58.6,60,58.6,60,4,1169,70016.8
9/22/23,58.6,60,58.6,58.6,12,11010,645187.4
9/21/23,58.6,59,58.6,59,4,1439,84821.9
9/20/23,58.8,60.3,58.5,58.8,24,3545,208090.1
