Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
6/19/24,1150,1150,1100,1150,7,38,42650
6/14/24,1140,1140,1140,1150,2,2,2280
6/13/24,1134.5,1135,1100,1150,10,62,70032.75
6/12/24,1134.25,1134.25,1134.25,1150,2,5,5671.25
6/11/24,1030,1132,1030,1150,9,27,30275
6/11/24,1030,1132,1030,1150,9,27,30275
6/10/24,1081,1087,1081,1150,3,7,7599
6/7/24,1080,1080,1080,1150,6,25,27000
6/6/24,1130,1130,1130,1150,6,16,18080
6/5/24,1130,1130,1130,1150,2,10,11300
6/4/24,1149.5,1149.5,1000.5,1150,5,23,26244.5
6/3/24,1112,1112,1001,1150,9,64,71012
5/31/24,1150,1150,1125,1150,4,92,105295
5/30/24,1150,1150,1120,1150,9,88,100188.5
5/28/24,1179,1179,1150,1150,4,142,163358
5/27/24,1160,1160,1150,1180,3,13,15025
5/22/24,1177,1177,1177,1180,1,2,2354
5/21/24,1180,1180,1150,1180,3,6,7020
5/20/24,1180,1180,1180,1180,3,502,592360
5/17/24,1170,1170,1120,1166.25,17,126,146984.75
5/16/24,1150,1150,1150,1115,4,16,18400
5/15/24,1170,1170,1115,1115,6,139,155220
5/14/24,1170,1170,1112,1130,8,322,364002
5/13/24,1200,1200,1130.25,1130.25,7,21,24750.5
5/10/24,1200,1200,1130,1130.25,28,10335,11741170
5/9/24,1199,1200,1199,1125.25,3,13,15595
5/6/24,1125.25,1125.25,1125.25,1125.25,1,100,112525
5/3/24,1200,1200,1130,1175,18,1259,1497545.25
5/2/24,1200,1200,1199,1200,8,137,164398
4/30/24,1150,1200,1150,1200,14,150,177673.25
4/29/24,1150,1150,1135,1135.25,11,802,910796
4/25/24,1100,1120,1100,1100,12,9936,10929801.25
4/24/24,1112.5,1112.5,1112.5,1112.5,6,134,149075
4/22/24,1090,1100,1050.5,1099,11,9457,10391259.75
4/19/24,1110,1110,1025,1048.5,9,116,121895
4/18/24,1060,1080,1000,1022.75,25,650,670071
4/17/24,1052,1065,1052,1079.75,3,7,7378
4/16/24,1052,1080,1052,1079.75,6,136,146012
4/15/24,1084,1084.5,1080,1083.75,21,179,193999.25
4/10/24,1084,1084,1084,1000,2,5,5420
4/9/24,1000,1055,997,1000,7,8970,8964165
4/8/24,995,1000,988.25,997,28,4374,4358987.75
4/5/24,995,995,990.25,990.5,2,11,10940.25
4/4/24,990,996.75,990,990.5,5,430,425856.75
4/3/24,989,989,989,953.25,3,10,9890
4/2/24,952.75,955,952.75,953.25,2,15,14322.75
4/1/24,989,989,989,953.25,1,4,3956
3/28/24,970,982.5,970,953.25,3,41,40082.5
3/27/24,953,953,953,953.25,1,10,9530
3/26/24,961.5,961.5,953,953.25,4,288,274522.5
3/25/24,962,962,962,953,2,11,10582
3/22/24,962,962,962,953,1,5,4810
3/19/24,975,975,975,953,5,55,53625
3/18/24,975,975,960,953,4,13,12630
3/14/24,955,965,955,953,2,3,2885
3/11/24,965,969.75,953,953,4,507,483264.5
3/7/24,950,969,945,951.75,8,125,118962
3/6/24,942.5,950.25,942.5,950,5,76020,72220611.5
3/5/24,942,942,942,950,1,1,942
3/4/24,945,950,945,950,5,302,286875
3/1/24,950,950,945,950,3,506,480675
2/29/24,950,950,950,950,4,106145,100837750
2/28/24,978.75,978.75,978.75,940,1,1,978.75
2/27/24,978.75,978.75,935,940,5,83490,78480188.75
2/26/24,955,955,950,950.25,5,102,96935
2/22/24,950,950,950,950,1,1,950
2/19/24,950,950,950,950,4,11813,11222350
2/15/24,965,979,950,950,6,289,274594
2/14/24,971,971,950,950,8,35000,33253309.5
2/12/24,955,955,955,971,2,3,2865
2/9/24,970,971,970,971,6,130,126215
2/8/24,951.25,971,951.25,970.5,13,882,848727.5
2/7/24,959,967.75,959,951.25,14,71,68483.5
2/1/24,950,955,950,951.25,11,1155,1097415
1/31/24,945,950,945,948.5,8,26,24585
1/30/24,940,949,940,948.5,5,409,386260
1/29/24,950,950,950,937,1,23,21850
1/19/24,940,940,940,937,2,10,9400
1/17/24,940,940,935.5,937,3,15,14086.25
1/16/24,940,940,940,937,2,4,3760
1/12/24,940,940,930,937,8,14,13080
1/11/24,945,945,940,937,4,19,17900
1/10/24,940,940,940,937,1,55,51700
1/8/24,937,939,937,937,4,1751,1640797
1/5/24,930,937.75,930,937,11,1423,1330158.5
1/4/24,925,926,925,925,8,9026,8349100
1/3/24,925,939,903.25,920.25,7,52,47615.75
1/2/24,921,925,921,920.25,2,32,29476
12/29/23,940,940,920,920.25,8,300,276540
12/28/23,925,940,925,935.25,3,22,20620
12/27/23,939,939,939,935.25,1,1,939
12/22/23,910,910,910,935.25,1,1,910
12/21/23,902.5,940,902.5,935.25,8,15,13735
12/20/23,940,940,902.5,935.25,6,221,206698.5
12/19/23,940,940,940,944,3,5,4700
12/18/23,918.5,918.5,918,944,6,45,41326.5
12/14/23,948,948,948,944,4,21,19908
12/13/23,925,990,925,944,8,108,101941.25
12/11/23,920,925,905,919.5,9,159,146367
12/8/23,895,923.5,895,895,4,5,4587.5
12/6/23,905,905,901,895,3,5,4513
12/5/23,895,895,895,895,1,100,89500
12/4/23,923.5,923.5,923.5,895.75,1,1,923.5
12/1/23,871.5,896,871.5,895.75,9,47122,42215581
11/30/23,890,890,875,875,8,11963,10470619.5
11/29/23,871,900,871,890,10,856,763620
11/28/23,930,930,900,900.25,4,5193,4674510
11/24/23,895,924.75,895,938.75,5,36,32988.5
11/22/23,930,938.75,890,938.75,9,201,183842.25
11/21/23,891.5,935,891.5,898,3,18,16134
11/20/23,939.75,939.75,870,898,21,627396,558401101
11/17/23,940,940,939.5,940,19,1707,1604552.75
11/16/23,929.75,940,929.75,938.75,14,708,664208.25
11/15/23,930,930,905,905,5,2002,1811888
11/14/23,939.75,939.75,939.75,909.75,3,5,4698.75
11/13/23,920,920,911,909.75,2,3,2751
11/9/23,910,910,905,909.75,2,103,93715
11/7/23,912,949.5,905,905,9,9324,8438984.5
11/6/23,951,951,900,904.5,8,35394,32017651
