Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
11/28/22,60.3,60.5,60.2,60.3,14,26342,1588446.5
11/24/22,60.6,62.4,60.1,60.3,28,19659,1185468.4
11/23/22,60.2,60.4,60.2,60.3,14,11283,679758.4
11/22/22,60.8,61,60.1,60.1,20,32144,1941966.2
11/21/22,60.1,60.8,60.1,60.7,16,8952,538167.1
11/18/22,62,62,60.1,60.8,13,100828,6127524.2
11/17/22,61.5,63.5,60,60.3,26,13331,801156.3
11/16/22,60.7,64,60,63.1,72,2551107,163142113.6
11/15/22,61.3,61.3,60.5,61,19,4127,251578.7
11/14/22,61.1,62.9,61.1,62,25,5564,345086.1
11/11/22,61.6,61.9,60.6,61,13,16228,989516.1
11/10/22,60,61.6,60,60,7,25003,1500183.5
11/9/22,60,60.2,60,60,14,12290,737410.7
11/8/22,60.1,61,60,60,20,53842,3231555
11/4/22,60.8,60.8,60,60.1,11,9000,541960.1
11/3/22,60.1,61.9,59.9,60.1,44,141859,8511625.6
11/2/22,62.9,62.9,60,60.1,20,15711,944572.5
11/1/22,60.2,60.2,60.1,60.1,12,2075,124740.5
10/31/22,60.2,60.3,60.1,60.1,12,6689,402869.8
10/28/22,61.5,61.5,60,60.1,30,50050,3006139.7
10/27/22,63,63,61.2,61.3,8,584,35826.9
10/26/22,61.6,61.6,61.1,61.5,10,1784,109690.3
10/25/22,62,62,61.5,61.5,9,98529,6108704.7
10/21/22,62,62,62,62,5,153,9486
10/20/22,65.5,65.7,62,62.4,45,9489,592666.1
10/19/22,63.4,64,63.4,64,3,6010,384634
10/18/22,65,65,63.2,63.4,20,2254,144676.2
10/17/22,65.1,65.1,63.6,64.8,17,4420,286423.3
10/14/22,67,67,64.6,65,22,11806,767479.6
10/13/22,64.7,67,64.6,64.6,9,2587,167164.6
10/12/22,64.6,64.7,64.6,64.6,18,9796,632993.1
10/11/22,68.3,68.3,64.6,64.7,18,5109,331873
10/7/22,66.1,66.5,66.1,66.4,7,185,12280.5
10/6/22,68.2,68.2,67,67.6,25,8319,563184.9
10/5/22,69,69,68.1,68.7,19,24402,1670772.9
10/4/22,69.1,70,68.1,68.6,29,23448,1611527
10/3/22,69,70,68.6,69.1,20,11056,764860.3
9/30/22,68.6,70.9,68.6,68.6,18,3264,224255.8
9/29/22,71,71,69,69,9,1310,90810
9/28/22,70,71,68,68.3,37,21606,1477047
9/27/22,69,73,69,69,63,1303027,89913204.6
9/26/22,70.5,70.6,69,69,49,406749,28078013.1
9/23/22,74,74,70.7,70.7,9,1689,119534
9/22/22,73,74,70.1,70.4,51,7547,537190.1
9/21/22,73.5,74,73,73.1,21,24727,1810010.1
9/20/22,73.5,73.7,73.5,73.5,30,33222,2442002.6
9/19/22,73.6,75.5,73.5,73.7,19,12306,908896.7
9/16/22,76.9,76.9,73,73.7,59,9282,688113.3
